pc_time,pc_seconds,#,UV_level,power,power_act,air_sp,air_pwm,air_fb,air_rpm,gas_valve,gas_valve_fb,gas_valve_fuel_fb,gas_valve_safety_fb,gas_valve_status,ignition,flame_level,flame_threshold,flame_detection_stat,ionisation,ion_err,thermal_switch,zero_to_ten,cpu_load,ign_level,t_gv_to_flame_detect,t_gv_1_to_no_flame,t_gv_2_to_no_flame,gas_valve_current_fb,lambda(0-10V)
11/7/2022 15:21,1657545698,3716108,1704,3000,2996,2108,2363,2106,3185,1,1,1989,1994,255,0,1710,100,1,0,0,1,9990,0,0,360,0,188,22382,-3753
11/7/2022 15:21,1657545698,3716128,1801,3000,2996,2108,2363,2106,3185,1,1,1994,1989,255,0,1790,100,1,0,0,1,9990,0,0,360,0,188,22365,-3753
11/7/2022 15:21,1657545698,3716148,1811,3000,2996,2108,2357,2107,3186,1,1,1994,1994,255,0,1781,100,1,0,0,1,9990,0,0,360,0,188,22360,-3753
11/7/2022 15:21,1657545698,3716168,1738,3000,3000,2108,2357,2107,3186,1,1,1994,1999,255,0,1750,100,1,0,0,1,9990,0,0,360,0,188,22366,-3753
11/7/2022 15:21,1657545698,3716188,1752,3000,3000,2108,2364,2106,3185,1,1,1994,1994,255,0,1769,100,1,0,0,1,9990,0,0,360,0,188,22382,-3753
11/7/2022 15:21,1657545699,3716208,1816,3000,2996,2108,2363,2106,3185,1,1,1994,1984,255,0,1795,100,1,0,0,1,9990,0,0,360,0,188,22381,-3753
11/7/2022 15:21,1657545699,3716228,1777,3000,2996,2108,2363,2106,3185,1,1,1994,1994,255,0,1781,100,1,0,0,1,9990,0,0,360,0,188,22372,-3753
11/7/2022 15:21,1657545699,3716248,1782,3000,2996,2108,2357,2107,3186,1,1,1994,1994,255,0,1796,100,1,0,0,1,9990,0,0,360,0,188,22369,-3753
11/7/2022 15:21,1657545699,3716268,1748,3000,3000,2108,2357,2107,3186,1,1,1999,1999,255,0,1772,100,1,0,0,1,9990,0,0,360,0,188,22363,-3753
11/7/2022 15:21,1657545699,3716288,0,3000,3000,2108,2358,2107,3186,1,1,1999,2003,255,0,1772,100,1,0,0,1,9990,0,0,360,0,188,22366,-3753
11/7/2022 15:21,1657545699,3716308,2260,3000,3000,2108,2358,2107,3186,1,1,1994,1999,255,0,1772,100,1,0,0,1,9990,0,0,360,0,188,22369,-3753
11/7/2022 15:21,1657545699,3716328,1845,3000,3000,2108,2359,2107,3186,1,1,1994,1994,255,0,1772,100,1,0,0,1,9990,0,0,360,0,188,22371,-3753
11/7/2022 15:21,1657545699,3716348,1777,3000,3000,2108,2359,2107,3186,1,1,1994,1994,255,0,1772,100,1,0,0,1,9990,0,0,360,0,188,22378,-3753
11/7/2022 15:21,1657545699,3716368,1733,3000,3000,2108,2359,2107,3186,1,1,1994,1989,255,0,1772,100,1,0,0,1,9990,0,0,360,0,188,22377,-3753
